trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
146,False,"{'a': 0.11526790915926297, 'e': 0.23053581831852593}",20,9,19.67601475396596,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.11411523006767034, 'e': 0.22823046013534068}",20,2,11.690440465828942,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.11297407776699364, 'e': 0.22594815553398728}",25,13,-2.843029296156218,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.1118443369893237, 'e': 0.2236886739786474}",20,0,-33.00735210674933,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
150,False,"{'a': 0.11072589361943046, 'e': 0.22145178723886091}",30,15,-27.342725427471898,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
151,False,"{'a': 0.10961863468323615, 'e': 0.2192372693664723}",25,6,1.8666576508339774,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
152,False,"{'a': 0.10852244833640379, 'e': 0.21704489667280757}",25,6,31.03253568516683,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.10743722385303975, 'e': 0.2148744477060795}",25,4,23.352700943445726,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.10636285161450935, 'e': 0.2127257032290187}",25,0,24.60180981141488,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.10529922309836426, 'e': 0.21059844619672852}",30,20,-4.201831175769352,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.10424623086738062, 'e': 0.20849246173476124}",20,6,23.61643103424677,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.1032037685587068, 'e': 0.2064075371174136}",20,6,12.522009953127744,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.10217173087311975, 'e': 0.2043434617462395}",25,2,15.355561226058985,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.10115001356438855, 'e': 0.2023000271287771}",30,6,27.956655786302253,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.10013851342874465, 'e': 0.2002770268574893}",25,15,-27.637977823943206,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
161,False,"{'a': 0.09913712829445721, 'e': 0.19827425658891443}",25,15,10.163067068864567,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.09814575701151264, 'e': 0.19629151402302528}",25,0,-2.82873939161375,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
