trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
217,True,"{'a': 0.5, 'e': 10.697392284111054}",30,0,-99.99092428725483,"{0: 18, 1: 7, 2: 4, 3: 0, 4: 1}",0
218,True,"{'a': 0.5, 'e': 10.804902863931257}",20,0,-87.92979391351338,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
219,True,"{'a': 0.5, 'e': 10.913493943041976}",25,0,-74.16999344795272,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
220,True,"{'a': 0.5, 'e': 11.023176380641601}",25,0,-170.66914059170188,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
221,True,"{'a': 0.5, 'e': 11.133961145065307}",30,0,-193.227244664683,"{0: 16, 1: 1, 2: 9, 3: 2, 4: 2}",0
222,True,"{'a': 0.5, 'e': 11.245859314881844}",20,0,-73.29443613565849,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
223,True,"{'a': 0.5, 'e': 11.358882080001457}",25,0,-162.5547851353599,"{0: 13, 1: 6, 2: 3, 3: 0, 4: 3}",0
224,True,"{'a': 0.5, 'e': 11.473040742794833}",25,0,-140.13091522628707,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
225,True,"{'a': 0.5, 'e': 11.588346719223392}",20,0,-148.1577056306656,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
226,True,"{'a': 0.5, 'e': 11.704811539980854}",20,0,-133.9255120516437,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
227,True,"{'a': 0.5, 'e': 11.822446851646363}",25,0,-165.51815616645416,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
228,True,"{'a': 0.5, 'e': 11.941264417849103}",20,0,-164.3093940411967,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
229,True,"{'a': 0.5, 'e': 12.06127612044472}",25,0,-144.31234220114825,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
230,True,"{'a': 0.5, 'e': 12.182493960703473}",20,0,-46.31004487655064,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",1
231,True,"{'a': 0.5, 'e': 12.30493006051041}",30,5,-134.54530848323506,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",1
232,True,"{'a': 0.5, 'e': 12.428596663577544}",25,0,-142.79749234243994,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
233,True,"{'a': 0.5, 'e': 12.55350613666823}",20,0,-78.26510064965497,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
234,True,"{'a': 0.5, 'e': 12.679670970833877}",30,0,-129.2585477699352,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
235,True,"{'a': 0.5, 'e': 12.80710378266303}",20,0,-127.28080743790748,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
236,True,"{'a': 0.5, 'e': 12.935817315543076}",30,0,-183.57989459038743,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
237,True,"{'a': 0.5, 'e': 13.065824440934556}",30,0,-85.5197510020468,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
238,True,"{'a': 0.5, 'e': 13.197138159658358}",20,6,-53.72158871276384,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
239,True,"{'a': 0.5, 'e': 13.329771603195772}",20,7,-94.24589518087998,"{0: 7, 1: 1, 2: 2, 3: 2, 4: 1}",1
240,True,"{'a': 0.5, 'e': 13.463738035001692}",20,0,-232.36713179704196,"{0: 4, 1: 6, 2: 5, 3: 2, 4: 3}",0
241,True,"{'a': 0.5, 'e': 13.599050851830924}",20,0,-125.24543349362037,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
