trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",25,13,-44.87848032255888,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",20,0,-59.80394250448438,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,0,3.0988013228558433,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",20,0,-78.96329015434267,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,6,-0.9842539878978476,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",30,0,-26.960529949010823,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,8,10.376570633365308,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",20,5,-67.69497491707503,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",25,16,-22.875172207832527,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",30,15,-35.01123943137779,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",25,11,21.254002945652193,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",20,8,-20.90423008481636,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,3,5.354880426370059,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",20,0,-111.64745609181034,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",30,0,31.685338993323203,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",25,4,8.93170648422109,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",30,0,-74.12434515627935,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",1
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",30,3,-54.72898843976036,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 2}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",20,0,-4.308590090298192,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",20,0,-51.193192433330005,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",30,4,-40.722427222082814,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",20,0,16.94136870212418,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,0,-60.478526330969736,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",20,0,-3.7475448051381486,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",25,0,25.167021511563327,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",35,0,34.64896938239599,"{0: 33, 1: 1, 2: 1, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,0,19.55675390027278,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",20,0,-40.40558435883799,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",25,3,21.988519509043957,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",20,0,-75.11930674647068,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",30,18,-0.03368428142159274,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,5,-28.930880770541894,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",35,18,26.045606601588105,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",30,9,-93.22730152229195,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 3}",1
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",25,0,-3.577858274442143,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",25,0,-69.92791384579442,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",30,8,-15.047695308927919,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",20,0,29.03546397658245,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",30,2,-25.96049426548102,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",20,0,-11.863692498082374,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,10,-3.138004889281324,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",25,10,-7.634536472939071,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,5,2.727589074329317,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",30,0,5.318309912736099,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",20,4,23.98392004771861,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",20,0,34.41413114180633,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",35,10,26.8816177400536,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",30,0,44.036135542177,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",25,11,14.735113854187686,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",20,16,8.862422420487388,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",25,14,20.794854215898372,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",20,3,26.931141331702143,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",30,18,12.342737980464014,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",25,12,-16.471425307392924,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",25,11,22.297770765709778,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.08499999999999919}",20,10,16.73162557276434,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
